,Neighbourhood Cleansed,Bedrooms,Beds,Price,Number of Reviews,Review Scores Rating,classes of rating,class of price,predictors
9536,Midtown,1,1,76,1,100,High,Bad,"[('n03388549', 'four-poster', 0.5489055), ('n04033995', 'quilt', 0.24802414), ('n04380533', 'table_lamp', 0.08313014), ('n03637318', 'lampshade', 0.053247347), ('n04344873', 'studio_couch', 0.021008572), ('n04590129', 'window_shade', 0.020328349), ('n03788365', 'mosquito_net', 0.011245562), ('n04522168', 'vase', 0.0017716493), ('n04201297', 'shoji', 0.0014371177), ('n04239074', 'sliding_door', 0.0013953805)]"
9590,Theater District,1,1,99,18,92,Low,Bad,"[('n04033995', 'quilt', 0.79305476), ('n04344873', 'studio_couch', 0.06270191), ('n03131574', 'crib', 0.042855535), ('n04550184', 'wardrobe', 0.011033452), ('n04380533', 'table_lamp', 0.00812719), ('n02971356', 'carton', 0.008054606), ('n03388549', 'four-poster', 0.007474027), ('n03180011', 'desktop_computer', 0.006951919), ('n03201208', 'dining_table', 0.005740184), ('n03733281', 'maze', 0.0053933556)]"
9596,Two Bridges,0,1,124,1,100,High,Good,"[('n03388549', 'four-poster', 0.77120876), ('n04239074', 'sliding_door', 0.11852692), ('n04344873', 'studio_couch', 0.035423975), ('n04201297', 'shoji', 0.027032847), ('n04550184', 'wardrobe', 0.018787516), ('n04033995', 'quilt', 0.0073110987), ('n03131574', 'crib', 0.0037286459), ('n03788365', 'mosquito_net', 0.0036151584), ('n04590129', 'window_shade', 0.0032947701), ('n03529860', 'home_theater', 0.0025548742)]"
9609,Upper East Side,1,1,199,78,96,High,Good,"[('n03388549', 'four-poster', 0.99784744), ('n04344873', 'studio_couch', 0.0010146372), ('n03788365', 'mosquito_net', 0.0007442155), ('n04550184', 'wardrobe', 0.00018285609), ('n03131574', 'crib', 0.00015376777), ('n04239074', 'sliding_door', 2.4120194e-05), ('n04033995', 'quilt', 7.3832607e-06), ('n04201297', 'shoji', 4.5311085e-06), ('n04493381', 'tub', 3.5953879e-06), ('n03125729', 'cradle', 3.4471182e-06)]"
9613,Upper East Side,1,1,225,5,96,High,Good,"[('n03388549', 'four-poster', 0.9726849), ('n04344873', 'studio_couch', 0.020649357), ('n03788365', 'mosquito_net', 0.0021757788), ('n04033995', 'quilt', 0.0018718271), ('n03018349', 'china_cabinet', 0.00056418695), ('n02870880', 'bookcase', 0.00043763744), ('n04550184', 'wardrobe', 0.0003859022), ('n03131574', 'crib', 0.00029893333), ('n02791124', 'barber_chair', 0.00025350865), ('n03201208', 'dining_table', 0.0001359102)]"
9622,Upper East Side,1,2,169,3,100,High,Good,"[('n03388549', 'four-poster', 0.70579934), ('n04344873', 'studio_couch', 0.11264607), ('n04201297', 'shoji', 0.055913758), ('n04590129', 'window_shade', 0.040138926), ('n03529860', 'home_theater', 0.020362167), ('n04239074', 'sliding_door', 0.016204128), ('n03201208', 'dining_table', 0.012770895), ('n04033995', 'quilt', 0.009372311), ('n03788365', 'mosquito_net', 0.007554658), ('n04081281', 'restaurant', 0.0045323954)]"
9636,Upper East Side,0,1,130,4,100,High,Good,"[('n03388549', 'four-poster', 0.66285306), ('n04344873', 'studio_couch', 0.16944933), ('n04239074', 'sliding_door', 0.04122959), ('n04033995', 'quilt', 0.040819842), ('n04590129', 'window_shade', 0.026222723), ('n04550184', 'wardrobe', 0.017048486), ('n03788365', 'mosquito_net', 0.01009996), ('n02870880', 'bookcase', 0.0073171714), ('n03018349', 'china_cabinet', 0.0050145118), ('n03201208', 'dining_table', 0.0037395272)]"
9638,Upper East Side,0,2,125,38,81,Low,Good,"[('n04033995', 'quilt', 0.7453585), ('n03388549', 'four-poster', 0.15715347), ('n04344873', 'studio_couch', 0.08153684), ('n03788365', 'mosquito_net', 0.006310916), ('n04590129', 'window_shade', 0.004926622), ('n04550184', 'wardrobe', 0.0013503759), ('n04239074', 'sliding_door', 0.0010044966), ('n04201297', 'shoji', 0.0005503972), ('n04380533', 'table_lamp', 0.00037669129), ('n03529860', 'home_theater', 0.00037635982)]"
9643,Upper East Side,1,1,60,7,100,High,Bad,"[('n03388549', 'four-poster', 0.61860585), ('n04033995', 'quilt', 0.08996504), ('n04344873', 'studio_couch', 0.07554136), ('n04590129', 'window_shade', 0.053621486), ('n04239074', 'sliding_door', 0.03680107), ('n03529860', 'home_theater', 0.027987702), ('n04404412', 'television', 0.015686702), ('n04550184', 'wardrobe', 0.012460885), ('n04235860', 'sleeping_bag', 0.012238401), ('n03290653', 'entertainment_center', 0.009221349)]"
9660,Upper East Side,1,1,140,61,92,Low,Good,"[('n03388549', 'four-poster', 0.89447314), ('n04344873', 'studio_couch', 0.082384296), ('n04550184', 'wardrobe', 0.007926588), ('n04033995', 'quilt', 0.0059623974), ('n04239074', 'sliding_door', 0.0046534413), ('n03788365', 'mosquito_net', 0.002471292), ('n04201297', 'shoji', 0.00045345104), ('n03290653', 'entertainment_center', 0.00021044158), ('n03529860', 'home_theater', 0.00019669955), ('n02870880', 'bookcase', 0.00012257868)]"
9667,Upper West Side,1,2,90,49,85,Low,Bad,"[('n03388549', 'four-poster', 0.70274395), ('n04033995', 'quilt', 0.20373926), ('n04344873', 'studio_couch', 0.06288399), ('n03788365', 'mosquito_net', 0.0056579234), ('n04239074', 'sliding_door', 0.005585744), ('n04590129', 'window_shade', 0.0043217777), ('n03201208', 'dining_table', 0.0037268882), ('n04550184', 'wardrobe', 0.0010725282), ('n03018349', 'china_cabinet', 0.0010017371), ('n03529860', 'home_theater', 0.000981592)]"
9679,Upper West Side,2,1,85,3,100,High,Bad,"[('n04033995', 'quilt', 0.83480006), ('n04344873', 'studio_couch', 0.044613052), ('n03131574', 'crib', 0.037108395), ('n03388549', 'four-poster', 0.026450234), ('n04550184', 'wardrobe', 0.018454624), ('n04239074', 'sliding_door', 0.01780978), ('n03018349', 'china_cabinet', 0.00381855), ('n04590129', 'window_shade', 0.0025898882), ('n03788365', 'mosquito_net', 0.00245183), ('n02870880', 'bookcase', 0.0023949535)]"
9705,Washington Heights,1,1,85,0,92.27,Low,Bad,"[('n03388549', 'four-poster', 0.68339527), ('n03788365', 'mosquito_net', 0.10764238), ('n04344873', 'studio_couch', 0.08509571), ('n04033995', 'quilt', 0.018323485), ('n04550184', 'wardrobe', 0.011629529), ('n04418357', 'theater_curtain', 0.009278623), ('n04590129', 'window_shade', 0.006986157), ('n03998194', 'prayer_rug', 0.0050679613), ('n04235860', 'sleeping_bag', 0.0048803785), ('n03982430', 'pool_table', 0.0045356164)]"
9717,Washington Heights,1,1,150,1,100,High,Good,"[('n03388549', 'four-poster', 0.6679257), ('n04344873', 'studio_couch', 0.12648878), ('n04380533', 'table_lamp', 0.085040815), ('n04590129', 'window_shade', 0.044871096), ('n03529860', 'home_theater', 0.030511424), ('n04033995', 'quilt', 0.020703522), ('n03788365', 'mosquito_net', 0.0047252714), ('n03637318', 'lampshade', 0.004066607), ('n03201208', 'dining_table', 0.0024549267), ('n03982430', 'pool_table', 0.0022961916)]"
9728,West Village,1,1,210,75,94,High,Good,"[('n03388549', 'four-poster', 0.5096361), ('n04344873', 'studio_couch', 0.3227353), ('n04033995', 'quilt', 0.14634582), ('n03131574', 'crib', 0.009448224), ('n03788365', 'mosquito_net', 0.006761852), ('n04239074', 'sliding_door', 0.0008728188), ('n04590129', 'window_shade', 0.00054316875), ('n03347037', 'fire_screen', 0.00041248745), ('n02788148', 'bannister', 0.0003097049), ('n03899768', 'patio', 0.0002962946)]"
9732,West Village,1,1,130,33,91,Low,Good,"[('n03388549', 'four-poster', 0.52214295), ('n04344873', 'studio_couch', 0.16920489), ('n04033995', 'quilt', 0.12154778), ('n03788365', 'mosquito_net', 0.04413283), ('n04239074', 'sliding_door', 0.025392463), ('n04590129', 'window_shade', 0.01645088), ('n04550184', 'wardrobe', 0.008916509), ('n03018349', 'china_cabinet', 0.007803462), ('n03529860', 'home_theater', 0.00589472), ('n04265275', 'space_heater', 0.0057117515)]"
9734,West Village,1,1,120,18,96,High,Good,"[('n03388549', 'four-poster', 0.8792025), ('n04033995', 'quilt', 0.052298516), ('n04344873', 'studio_couch', 0.047077395), ('n04550184', 'wardrobe', 0.005834385), ('n04590129', 'window_shade', 0.0044188714), ('n04239074', 'sliding_door', 0.0032562555), ('n03788365', 'mosquito_net', 0.0022073623), ('n04201297', 'shoji', 0.0008653071), ('n04040759', 'radiator', 0.0006513716), ('n02870880', 'bookcase', 0.0004247219)]"
9750,Upper West Side,1,1,87,56,94,High,Bad,"[('n03388549', 'four-poster', 0.5775746), ('n04344873', 'studio_couch', 0.13403672), ('n04239074', 'sliding_door', 0.068948105), ('n04590129', 'window_shade', 0.023010412), ('n04033995', 'quilt', 0.015740808), ('n03452741', 'grand_piano', 0.014363352), ('n04099969', 'rocking_chair', 0.012682834), ('n04209239', 'shower_curtain', 0.011743773), ('n04493381', 'tub', 0.010125474), ('n03991062', 'pot', 0.00945548)]"
9762,West Village,1,1,150,0,92.3,Low,Good,"[('n03388549', 'four-poster', 0.7060798), ('n04239074', 'sliding_door', 0.061430834), ('n04344873', 'studio_couch', 0.052582122), ('n03899768', 'patio', 0.019639792), ('n04550184', 'wardrobe', 0.017310962), ('n04493381', 'tub', 0.01670482), ('n03788365', 'mosquito_net', 0.011926801), ('n04005630', 'prison', 0.010261126), ('n04590129', 'window_shade', 0.009808548), ('n04033995', 'quilt', 0.00816332)]"
9763,West Village,0,1,198,8,95,High,Good,"[('n03388549', 'four-poster', 0.7900009), ('n04344873', 'studio_couch', 0.15969563), ('n04033995', 'quilt', 0.017816039), ('n04550184', 'wardrobe', 0.013110279), ('n04239074', 'sliding_door', 0.0044126147), ('n03788365', 'mosquito_net', 0.0017510318), ('n03938244', 'pillow', 0.0015000885), ('n04493381', 'tub', 0.0013792367), ('n02808440', 'bathtub', 0.0011608634), ('n03529860', 'home_theater', 0.0010944958)]"
9775,Upper West Side,1,1,120,6,100,High,Good,"[('n03388549', 'four-poster', 0.71977925), ('n04344873', 'studio_couch', 0.1218713), ('n04033995', 'quilt', 0.120824784), ('n04429376', 'throne', 0.012407976), ('n03201208', 'dining_table', 0.0063424287), ('n04418357', 'theater_curtain', 0.0036645497), ('n04081281', 'restaurant', 0.0020123208), ('n03961711', 'plate_rack', 0.0018949618), ('n03950228', 'pitcher', 0.0014487737), ('n04590129', 'window_shade', 0.0013374441)]"
9789,Upper West Side,2,3,220,17,91,Low,Good,"[('n03388549', 'four-poster', 0.8820889), ('n04033995', 'quilt', 0.08717153), ('n04344873', 'studio_couch', 0.014516595), ('n04239074', 'sliding_door', 0.004558015), ('n03529860', 'home_theater', 0.004159395), ('n03788365', 'mosquito_net', 0.0014585487), ('n04590129', 'window_shade', 0.0013130788), ('n04201297', 'shoji', 0.0013071715), ('n04550184', 'wardrobe', 0.0012532665), ('n04380533', 'table_lamp', 0.0006932127)]"
9790,Upper West Side,1,1,225,19,99,High,Good,"[('n03388549', 'four-poster', 0.88260585), ('n04590129', 'window_shade', 0.047659192), ('n04239074', 'sliding_door', 0.021744892), ('n04344873', 'studio_couch', 0.020257821), ('n04493381', 'tub', 0.0045197476), ('n02870880', 'bookcase', 0.0037016324), ('n03290653', 'entertainment_center', 0.0015251507), ('n03018349', 'china_cabinet', 0.0015042702), ('n03529860', 'home_theater', 0.0014155874), ('n03788365', 'mosquito_net', 0.0012291555)]"
9800,Washington Heights,2,2,85,6,100,High,Bad,"[('n03388549', 'four-poster', 0.72087526), ('n04344873', 'studio_couch', 0.20124198), ('n03788365', 'mosquito_net', 0.042047057), ('n04550184', 'wardrobe', 0.00892515), ('n04033995', 'quilt', 0.006406182), ('n03131574', 'crib', 0.0052281544), ('n04239074', 'sliding_door', 0.0041011726), ('n04590129', 'window_shade', 0.0016090622), ('n04201297', 'shoji', 0.0014692908), ('n04380533', 'table_lamp', 0.00080089836)]"
9824,Upper West Side,0,1,200,11,98,High,Good,"[('n03388549', 'four-poster', 0.9766778), ('n04344873', 'studio_couch', 0.007361362), ('n04239074', 'sliding_door', 0.0023765543), ('n04209239', 'shower_curtain', 0.0022303464), ('n03290653', 'entertainment_center', 0.0019120624), ('n03788365', 'mosquito_net', 0.0013668465), ('n04033995', 'quilt', 0.001347668), ('n04590129', 'window_shade', 0.0013395314), ('n04550184', 'wardrobe', 0.0013213219), ('n02870880', 'bookcase', 0.00066858414)]"
9839,Washington Heights,1,1,55,0,92.27,Low,Bad,"[('n03388549', 'four-poster', 0.97265965), ('n04344873', 'studio_couch', 0.022539051), ('n04033995', 'quilt', 0.0017434502), ('n03788365', 'mosquito_net', 0.0006920094), ('n03201208', 'dining_table', 0.0003298313), ('n04239074', 'sliding_door', 0.00027538414), ('n04493381', 'tub', 0.00026118217), ('n04590129', 'window_shade', 0.00015540431), ('n04209239', 'shower_curtain', 0.00014471509), ('n04081281', 'restaurant', 0.00013224474)]"
9842,West Village,1,1,209,4,95,High,Good,"[('n03388549', 'four-poster', 0.9906943), ('n04344873', 'studio_couch', 0.0050898036), ('n04550184', 'wardrobe', 0.0011171446), ('n03529860', 'home_theater', 0.0009797271), ('n04033995', 'quilt', 0.0008052539), ('n03290653', 'entertainment_center', 0.0004200093), ('n04239074', 'sliding_door', 0.00033879752), ('n04590129', 'window_shade', 0.00025911062), ('n02870880', 'bookcase', 7.43493e-05), ('n03018349', 'china_cabinet', 4.7297573e-05)]"
9847,West Village,1,1,125,2,100,High,Good,"[('n03388549', 'four-poster', 0.8491559), ('n04344873', 'studio_couch', 0.08440826), ('n04033995', 'quilt', 0.04799408), ('n03938244', 'pillow', 0.0091388365), ('n03788365', 'mosquito_net', 0.005652677), ('n04550184', 'wardrobe', 0.0009876402), ('n04239074', 'sliding_door', 0.0009596294), ('n04590129', 'window_shade', 0.00032736204), ('n02870880', 'bookcase', 0.00014608109), ('n03131574', 'crib', 0.00011423175)]"
9861,West Village,1,1,125,37,91,Low,Good,"[('n03388549', 'four-poster', 0.98962855), ('n04344873', 'studio_couch', 0.006649097), ('n03788365', 'mosquito_net', 0.0007705158), ('n04590129', 'window_shade', 0.00045378093), ('n04005630', 'prison', 0.00037877518), ('n04493381', 'tub', 0.00035793617), ('n03467068', 'guillotine', 0.00030264008), ('n04239074', 'sliding_door', 0.00024460323), ('n04550184', 'wardrobe', 0.00016837598), ('n02808440', 'bathtub', 0.00011198153)]"
9879,Hell's Kitchen,1,1,249,73,91,Low,Good,"[('n03388549', 'four-poster', 0.9869986), ('n04344873', 'studio_couch', 0.004584921), ('n04033995', 'quilt', 0.002083241), ('n04590129', 'window_shade', 0.0019533674), ('n04239074', 'sliding_door', 0.0012344231), ('n03788365', 'mosquito_net', 0.001192307), ('n03018349', 'china_cabinet', 0.0008889377), ('n02870880', 'bookcase', 0.00018721959), ('n04550184', 'wardrobe', 0.00015354156), ('n03290653', 'entertainment_center', 0.00012836527)]"
9887,Hell's Kitchen,0,2,179,26,93,High,Good,"[('n03388549', 'four-poster', 0.6556879), ('n04239074', 'sliding_door', 0.08261379), ('n04344873', 'studio_couch', 0.06262173), ('n04590129', 'window_shade', 0.03550204), ('n04550184', 'wardrobe', 0.02547091), ('n03788365', 'mosquito_net', 0.0176246), ('n04005630', 'prison', 0.013601259), ('n03179701', 'desk', 0.010706817), ('n04201297', 'shoji', 0.0070189107), ('n02870880', 'bookcase', 0.0058910553)]"
9889,Hell's Kitchen,1,1,88,145,96,High,Bad,"[('n04033995', 'quilt', 0.96034217), ('n04344873', 'studio_couch', 0.022762459), ('n04550184', 'wardrobe', 0.0060909074), ('n03131574', 'crib', 0.003330566), ('n03388549', 'four-poster', 0.0017701209), ('n03201208', 'dining_table', 0.0011505255), ('n04239074', 'sliding_door', 0.0006797987), ('n03938244', 'pillow', 0.0005488581), ('n02870880', 'bookcase', 0.00024490707), ('n04235860', 'sleeping_bag', 0.00023563401)]"
9896,Hell's Kitchen,1,3,220,33,95,High,Good,"[('n03388549', 'four-poster', 0.8456706), ('n04201297', 'shoji', 0.1391737), ('n04239074', 'sliding_door', 0.010498826), ('n03788365', 'mosquito_net', 0.0030407635), ('n04344873', 'studio_couch', 0.0011385293), ('n04550184', 'wardrobe', 0.0001891195), ('n04033995', 'quilt', 9.3422044e-05), ('n03131574', 'crib', 8.551609e-05), ('n04005630', 'prison', 4.8865484e-05), ('n04590129', 'window_shade', 1.3245869e-05)]"
9898,Hell's Kitchen,2,2,400,0,92.5,Low,Good,"[('n03388549', 'four-poster', 0.9298347), ('n04344873', 'studio_couch', 0.046211787), ('n04590129', 'window_shade', 0.009166752), ('n04033995', 'quilt', 0.0042650867), ('n03529860', 'home_theater', 0.0034171524), ('n03788365', 'mosquito_net', 0.0021484627), ('n04239074', 'sliding_door', 0.0016875752), ('n04550184', 'wardrobe', 0.0012661661), ('n04380533', 'table_lamp', 0.0007091516), ('n04209239', 'shower_curtain', 0.00017047026)]"
9907,Inwood,1,1,60,19,96,High,Bad,"[('n04033995', 'quilt', 0.70481825), ('n03201208', 'dining_table', 0.22534628), ('n03388549', 'four-poster', 0.01783611), ('n04590129', 'window_shade', 0.006734928), ('n04380533', 'table_lamp', 0.0062057725), ('n04344873', 'studio_couch', 0.0056905407), ('n04550184', 'wardrobe', 0.0048938333), ('n04239074', 'sliding_door', 0.004356669), ('n03018349', 'china_cabinet', 0.002748828), ('n03938244', 'pillow', 0.0018244033)]"
9917,Kips Bay,3,4,399,1,100,High,Good,"[('n03388549', 'four-poster', 0.679061), ('n04033995', 'quilt', 0.27735612), ('n04344873', 'studio_couch', 0.014427953), ('n04429376', 'throne', 0.0071833064), ('n04099969', 'rocking_chair', 0.005165575), ('n04550184', 'wardrobe', 0.0042097396), ('n03788365', 'mosquito_net', 0.0025500194), ('n03131574', 'crib', 0.0018784724), ('n04590129', 'window_shade', 0.0014109431), ('n03125729', 'cradle', 0.0011393098)]"
9918,Kips Bay,1,1,200,71,90,Low,Good,"[('n04033995', 'quilt', 0.9549108), ('n04344873', 'studio_couch', 0.036478445), ('n03388549', 'four-poster', 0.0062761554), ('n03788365', 'mosquito_net', 0.00033185884), ('n04550184', 'wardrobe', 0.00031821796), ('n03529860', 'home_theater', 0.00028334357), ('n04525038', 'velvet', 0.00018549705), ('n04239074', 'sliding_door', 0.00016635572), ('n04404412', 'television', 0.00013584837), ('n04590129', 'window_shade', 8.779826e-05)]"
9935,Lower East Side,2,1,150,2,100,High,Good,"[('n03388549', 'four-poster', 0.727258), ('n03788365', 'mosquito_net', 0.115041286), ('n04344873', 'studio_couch', 0.08383434), ('n04033995', 'quilt', 0.0712544), ('n03131574', 'crib', 0.0011154542), ('n04550184', 'wardrobe', 0.0006766185), ('n04590129', 'window_shade', 0.00032936624), ('n03125729', 'cradle', 6.658405e-05), ('n04239074', 'sliding_door', 4.6493933e-05), ('n03938244', 'pillow', 3.5894504e-05)]"
9949,Lower East Side,1,1,118,0,92.3,Low,Bad,"[('n03388549', 'four-poster', 0.8902214), ('n04239074', 'sliding_door', 0.034340687), ('n04344873', 'studio_couch', 0.030708874), ('n03788365', 'mosquito_net', 0.018645424), ('n04550184', 'wardrobe', 0.009525112), ('n04590129', 'window_shade', 0.0048111673), ('n04493381', 'tub', 0.0021469153), ('n04033995', 'quilt', 0.0018345563), ('n03529860', 'home_theater', 0.0014105941), ('n02808440', 'bathtub', 0.0013806616)]"
9956,Lower East Side,2,2,179,46,87,Low,Good,"[('n03388549', 'four-poster', 0.90753573), ('n04033995', 'quilt', 0.06864588), ('n04344873', 'studio_couch', 0.013788813), ('n04550184', 'wardrobe', 0.0054326383), ('n03788365', 'mosquito_net', 0.0033261), ('n04590129', 'window_shade', 0.00030263248), ('n03201208', 'dining_table', 0.00023892074), ('n03938244', 'pillow', 7.7106575e-05), ('n04201297', 'shoji', 4.7113364e-05), ('n03998194', 'prayer_rug', 4.6185458e-05)]"
10002,Midtown,1,1,189,178,92,Low,Good,"[('n03388549', 'four-poster', 0.9141789), ('n04344873', 'studio_couch', 0.06640991), ('n03788365', 'mosquito_net', 0.0055511557), ('n04033995', 'quilt', 0.0052572577), ('n04209239', 'shower_curtain', 0.0020780812), ('n03131574', 'crib', 0.00073572533), ('n04550184', 'wardrobe', 0.00072916085), ('n04590129', 'window_shade', 0.00065102696), ('n04239074', 'sliding_door', 0.0004691439), ('n03761084', 'microwave', 0.0004079485)]"
10007,Midtown,1,1,150,32,94,High,Good,"[('n03388549', 'four-poster', 0.8943406), ('n04344873', 'studio_couch', 0.08341264), ('n04033995', 'quilt', 0.009579048), ('n04550184', 'wardrobe', 0.0036349676), ('n03788365', 'mosquito_net', 0.0034032792), ('n03529860', 'home_theater', 0.0010033534), ('n04590129', 'window_shade', 0.00076686434), ('n04429376', 'throne', 0.0005851911), ('n04081281', 'restaurant', 0.00054112554), ('n03032252', 'cinema', 0.00045278238)]"
10012,Midtown,1,1,300,3,100,High,Good,"[('n03388549', 'four-poster', 0.6058603), ('n04344873', 'studio_couch', 0.21891512), ('n04033995', 'quilt', 0.037040528), ('n04590129', 'window_shade', 0.02410618), ('n03529860', 'home_theater', 0.018074714), ('n02870880', 'bookcase', 0.012219004), ('n03788365', 'mosquito_net', 0.010873406), ('n04239074', 'sliding_door', 0.010155951), ('n04404412', 'television', 0.007545412), ('n04550184', 'wardrobe', 0.005458395)]"
10014,Midtown,1,2,175,94,91,Low,Good,"[('n04033995', 'quilt', 0.94368476), ('n04380533', 'table_lamp', 0.019290514), ('n03637318', 'lampshade', 0.018194389), ('n04344873', 'studio_couch', 0.010650288), ('n03388549', 'four-poster', 0.004926449), ('n03788365', 'mosquito_net', 0.0010133315), ('n03131574', 'crib', 0.0008736279), ('n03534580', 'hoopskirt', 0.0004380912), ('n04525038', 'velvet', 0.00011142506), ('n03201208', 'dining_table', 0.000107234235)]"
10035,Morningside Heights,1,1,100,55,89,Low,Bad,"[('n03388549', 'four-poster', 0.96675926), ('n04033995', 'quilt', 0.023149783), ('n04344873', 'studio_couch', 0.0066902135), ('n03788365', 'mosquito_net', 0.0014048426), ('n04590129', 'window_shade', 0.00077586924), ('n04550184', 'wardrobe', 0.000534419), ('n04239074', 'sliding_door', 0.00014723474), ('n03998194', 'prayer_rug', 9.2265866e-05), ('n04429376', 'throne', 6.884963e-05), ('n04201297', 'shoji', 4.138689e-05)]"
10058,Upper East Side,1,1,140,55,89,Low,Good,"[('n03388549', 'four-poster', 0.75693816), ('n04033995', 'quilt', 0.17549033), ('n04344873', 'studio_couch', 0.02495554), ('n04590129', 'window_shade', 0.024650857), ('n03201208', 'dining_table', 0.0063028447), ('n04380533', 'table_lamp', 0.0017785383), ('n03938244', 'pillow', 0.001416828), ('n04550184', 'wardrobe', 0.00087421876), ('n02870880', 'bookcase', 0.0008715075), ('n04209239', 'shower_curtain', 0.00077604025)]"
10067,Theater District,1,1,100,10,93,High,Bad,"[('n04033995', 'quilt', 0.9067577), ('n04344873', 'studio_couch', 0.049378823), ('n03388549', 'four-poster', 0.030675858), ('n03938244', 'pillow', 0.0077377865), ('n04550184', 'wardrobe', 0.0017076936), ('n03131574', 'crib', 0.0006592768), ('n04525038', 'velvet', 0.00042612248), ('n04235860', 'sleeping_bag', 0.00029704173), ('n04590129', 'window_shade', 0.00029373483), ('n04201297', 'shoji', 0.00021310299)]"
10072,Upper East Side,2,3,180,1,80,Low,Good,"[('n03388549', 'four-poster', 0.6199002), ('n04550184', 'wardrobe', 0.10785234), ('n04344873', 'studio_couch', 0.0888146), ('n04033995', 'quilt', 0.026791502), ('n02870880', 'bookcase', 0.013190579), ('n03179701', 'desk', 0.01301905), ('n03788365', 'mosquito_net', 0.012881567), ('n03290653', 'entertainment_center', 0.012818443), ('n03376595', 'folding_chair', 0.012421028), ('n03201208', 'dining_table', 0.010259489)]"
10078,Upper East Side,1,1,70,1,80,Low,Bad,"[('n04033995', 'quilt', 0.8141274), ('n04344873', 'studio_couch', 0.17976856), ('n03938244', 'pillow', 0.002230492), ('n03388549', 'four-poster', 0.0013745346), ('n03131574', 'crib', 0.0012902659), ('n03788365', 'mosquito_net', 0.0004904724), ('n04550184', 'wardrobe', 0.00020157454), ('n04525038', 'velvet', 8.970898e-05), ('n04590129', 'window_shade', 6.434598e-05), ('n04209239', 'shower_curtain', 4.2613083e-05)]"
10082,Upper East Side,1,1,200,5,96,High,Good,"[('n03388549', 'four-poster', 0.5093399), ('n04344873', 'studio_couch', 0.15071316), ('n04239074', 'sliding_door', 0.06138825), ('n04201297', 'shoji', 0.046463646), ('n03788365', 'mosquito_net', 0.021053305), ('n03529860', 'home_theater', 0.016025312), ('n04590129', 'window_shade', 0.014679478), ('n03201208', 'dining_table', 0.01390118), ('n02870880', 'bookcase', 0.013383367), ('n03452741', 'grand_piano', 0.012630532)]"
10090,Upper East Side,1,1,250,1,40,Low,Good,"[('n03388549', 'four-poster', 0.61073047), ('n04344873', 'studio_couch', 0.14542425), ('n04239074', 'sliding_door', 0.058319647), ('n04590129', 'window_shade', 0.033639353), ('n03982430', 'pool_table', 0.015179835), ('n03788365', 'mosquito_net', 0.012206952), ('n03201208', 'dining_table', 0.011432515), ('n03179701', 'desk', 0.009944816), ('n04081281', 'restaurant', 0.009712212), ('n03899768', 'patio', 0.009413131)]"
10103,Upper East Side,1,1,150,3,100,High,Good,"[('n03388549', 'four-poster', 0.5115014), ('n04344873', 'studio_couch', 0.41389197), ('n03788365', 'mosquito_net', 0.027144773), ('n04033995', 'quilt', 0.018128417), ('n04550184', 'wardrobe', 0.017612977), ('n04239074', 'sliding_door', 0.0031010576), ('n04590129', 'window_shade', 0.002203997), ('n03899768', 'patio', 0.00077205565), ('n04065272', 'recreational_vehicle', 0.000607294), ('n04265275', 'space_heater', 0.00041301225)]"
10117,Upper East Side,0,1,50,0,92.3,Low,Bad,"[('n03388549', 'four-poster', 0.7290501), ('n04590129', 'window_shade', 0.10195988), ('n04344873', 'studio_couch', 0.05046186), ('n04081281', 'restaurant', 0.04783697), ('n03201208', 'dining_table', 0.015475332), ('n04239074', 'sliding_door', 0.008383612), ('n02699494', 'altar', 0.004279068), ('n03788365', 'mosquito_net', 0.0042157415), ('n03467068', 'guillotine', 0.0034018501), ('n04033995', 'quilt', 0.0030461578)]"
10122,Upper West Side,2,2,219,1,100,High,Good,"[('n03388549', 'four-poster', 0.66595656), ('n04344873', 'studio_couch', 0.08635901), ('n04033995', 'quilt', 0.062007558), ('n04201297', 'shoji', 0.06108093), ('n04239074', 'sliding_door', 0.045616847), ('n03788365', 'mosquito_net', 0.016084803), ('n04590129', 'window_shade', 0.014309722), ('n04550184', 'wardrobe', 0.010863902), ('n04380533', 'table_lamp', 0.010169189), ('n02870880', 'bookcase', 0.008814862)]"
10123,Upper West Side,2,4,175,4,100,High,Good,"[('n03388549', 'four-poster', 0.5810104), ('n04344873', 'studio_couch', 0.23995383), ('n03788365', 'mosquito_net', 0.15281892), ('n04590129', 'window_shade', 0.010198557), ('n04033995', 'quilt', 0.0045450544), ('n04239074', 'sliding_door', 0.0010841506), ('n03529860', 'home_theater', 0.0007161167), ('n03179701', 'desk', 0.0006865956), ('n04380533', 'table_lamp', 0.0006430156), ('n03982430', 'pool_table', 0.0005256718)]"
10144,East Village,0,1,120,4,85,Low,Good,"[('n03388549', 'four-poster', 0.9905245), ('n04344873', 'studio_couch', 0.006316147), ('n03788365', 'mosquito_net', 0.0011130569), ('n04033995', 'quilt', 0.0007530674), ('n04550184', 'wardrobe', 0.00066516106), ('n04590129', 'window_shade', 0.0001383927), ('n03131574', 'crib', 8.326833e-05), ('n04239074', 'sliding_door', 6.368381e-05), ('n04201297', 'shoji', 6.124657e-05), ('n02870880', 'bookcase', 2.9147785e-05)]"
