,Neighbourhood Cleansed,Bedrooms,Beds,Price,Number of Reviews,Review Scores Rating,classes of rating,class of price,predictors
242,Lower East Side,0,2,150,25,87,Low,Good,"[('n03388549', 'four-poster', 0.50048405), ('n04344873', 'studio_couch', 0.23416626), ('n04550184', 'wardrobe', 0.082053), ('n03788365', 'mosquito_net', 0.06906083), ('n04033995', 'quilt', 0.04728315), ('n04590129', 'window_shade', 0.017111614), ('n04239074', 'sliding_door', 0.01626779), ('n04380533', 'table_lamp', 0.0056762155), ('n03131574', 'crib', 0.0027408286), ('n03938244', 'pillow', 0.002590889)]"
253,Kips Bay,1,1,69,1,100,High,Bad,"[('n04033995', 'quilt', 0.9959104), ('n03529860', 'home_theater', 0.0011930056), ('n04590129', 'window_shade', 0.0008607587), ('n04239074', 'sliding_door', 0.00048373968), ('n04201297', 'shoji', 0.00032369883), ('n03388549', 'four-poster', 0.00031421788), ('n04344873', 'studio_couch', 0.0001378236), ('n04550184', 'wardrobe', 0.000108435044), ('n04380533', 'table_lamp', 7.217368e-05), ('n02795169', 'barrel', 4.2838958e-05)]"
264,Little Italy,1,1,99,16,99,High,Bad,"[('n03388549', 'four-poster', 0.93189734), ('n04344873', 'studio_couch', 0.02583028), ('n04033995', 'quilt', 0.012216543), ('n04590129', 'window_shade', 0.00883703), ('n04239074', 'sliding_door', 0.004679126), ('n03788365', 'mosquito_net', 0.0043191104), ('n04550184', 'wardrobe', 0.0011216978), ('n04201297', 'shoji', 0.00087436766), ('n03018349', 'china_cabinet', 0.00071283337), ('n02870880', 'bookcase', 0.0006377436)]"
280,Lower East Side,1,1,179,12,97,High,Good,"[('n04033995', 'quilt', 0.9256238), ('n03201208', 'dining_table', 0.026988061), ('n03388549', 'four-poster', 0.021584395), ('n04344873', 'studio_couch', 0.008541309), ('n03788365', 'mosquito_net', 0.0062027387), ('n03938244', 'pillow', 0.0029332906), ('n03131574', 'crib', 0.0028778645), ('n04590129', 'window_shade', 0.0016424747), ('n04239074', 'sliding_door', 0.001184142), ('n03125729', 'cradle', 0.00028503494)]"
282,Lower East Side,1,1,145,67,90,Low,Good,"[('n03388549', 'four-poster', 0.512682), ('n04344873', 'studio_couch', 0.19799197), ('n04065272', 'recreational_vehicle', 0.046437994), ('n04550184', 'wardrobe', 0.04184259), ('n04201297', 'shoji', 0.03944984), ('n04590129', 'window_shade', 0.016396297), ('n03179701', 'desk', 0.0142639745), ('n04336792', 'stretcher', 0.01083072), ('n04239074', 'sliding_door', 0.008875161), ('n03223299', 'doormat', 0.006433954)]"
300,Theater District,1,4,55,1,92.32,Low,Bad,"[('n03388549', 'four-poster', 0.61310697), ('n04344873', 'studio_couch', 0.36532304), ('n04033995', 'quilt', 0.011445392), ('n04550184', 'wardrobe', 0.0049470174), ('n03131574', 'crib', 0.0013201969), ('n03788365', 'mosquito_net', 0.0012648243), ('n04590129', 'window_shade', 0.00074290053), ('n04201297', 'shoji', 0.0005313298), ('n04239074', 'sliding_door', 0.0002245224), ('n02870880', 'bookcase', 0.00012414996)]"
303,Tribeca,2,2,450,10,100,High,Good,"[('n04033995', 'quilt', 0.8616204), ('n03388549', 'four-poster', 0.09291409), ('n04344873', 'studio_couch', 0.01999529), ('n04550184', 'wardrobe', 0.006537538), ('n04590129', 'window_shade', 0.0039414275), ('n04239074', 'sliding_door', 0.0033424918), ('n03788365', 'mosquito_net', 0.002293382), ('n02870880', 'bookcase', 0.0013016128), ('n04380533', 'table_lamp', 0.0010718934), ('n04404412', 'television', 0.00072033756)]"
325,Upper East Side,1,1,170,0,92.3,Low,Good,"[('n03388549', 'four-poster', 0.6791289), ('n04344873', 'studio_couch', 0.10352531), ('n04590129', 'window_shade', 0.08847442), ('n04033995', 'quilt', 0.08526047), ('n03018349', 'china_cabinet', 0.02267821), ('n04239074', 'sliding_door', 0.009664157), ('n03201208', 'dining_table', 0.0017475887), ('n04550184', 'wardrobe', 0.0014290989), ('n03131574', 'crib', 0.0009126514), ('n03899768', 'patio', 0.0007957904)]"
333,Upper East Side,1,1,100,0,92.3,Low,Bad,"[('n03388549', 'four-poster', 0.52133113), ('n04344873', 'studio_couch', 0.25712615), ('n04033995', 'quilt', 0.2013694), ('n03788365', 'mosquito_net', 0.008994969), ('n04590129', 'window_shade', 0.0023442009), ('n04550184', 'wardrobe', 0.0022670818), ('n04201297', 'shoji', 0.0022228784), ('n04239074', 'sliding_door', 0.0021144187), ('n03131574', 'crib', 0.00027729478), ('n04380533', 'table_lamp', 0.00021582644)]"
342,Hell's Kitchen,1,1,253,40,94,High,Good,"[('n03388549', 'four-poster', 0.63971204), ('n04344873', 'studio_couch', 0.26014912), ('n04033995', 'quilt', 0.07867981), ('n03788365', 'mosquito_net', 0.010844871), ('n03131574', 'crib', 0.004949236), ('n03938244', 'pillow', 0.0008038066), ('n03125729', 'cradle', 0.0008010906), ('n04099969', 'rocking_chair', 0.00053694786), ('n04550184', 'wardrobe', 0.0003800808), ('n04239074', 'sliding_door', 0.00029587798)]"
343,Hell's Kitchen,0,1,197,0,92.5,Low,Good,"[('n04033995', 'quilt', 0.7526604), ('n04344873', 'studio_couch', 0.15038872), ('n03388549', 'four-poster', 0.083399944), ('n03788365', 'mosquito_net', 0.0022602498), ('n04550184', 'wardrobe', 0.0016872205), ('n03131574', 'crib', 0.0016799408), ('n03201208', 'dining_table', 0.0014596664), ('n04590129', 'window_shade', 0.0008923273), ('n03018349', 'china_cabinet', 0.00072917476), ('n02870880', 'bookcase', 0.00047583206)]"
347,Hell's Kitchen,1,3,99,1,100,High,Bad,"[('n03388549', 'four-poster', 0.9191047), ('n04239074', 'sliding_door', 0.024072012), ('n04344873', 'studio_couch', 0.019295828), ('n03018349', 'china_cabinet', 0.00965869), ('n04033995', 'quilt', 0.008306294), ('n03529860', 'home_theater', 0.0074683214), ('n04590129', 'window_shade', 0.0036726424), ('n03788365', 'mosquito_net', 0.00079509075), ('n04081281', 'restaurant', 0.00070854474), ('n04589890', 'window_screen', 0.0005591815)]"
352,Hell's Kitchen,1,1,95,1,100,High,Bad,"[('n04033995', 'quilt', 0.73568314), ('n03388549', 'four-poster', 0.24009009), ('n03788365', 'mosquito_net', 0.009361509), ('n04344873', 'studio_couch', 0.0054497668), ('n04550184', 'wardrobe', 0.004831118), ('n04201297', 'shoji', 0.000558985), ('n04125021', 'safe', 0.0002905856), ('n03201208', 'dining_table', 0.00028742035), ('n03179701', 'desk', 0.00019006032), ('n03938244', 'pillow', 0.0001409639)]"
